,n,mythe,symbole,homme
0,1,1.0,1.0,0.0
1,2,0.5,1.0,0.0
2,3,0.6666666666666666,1.0,0.3333333333333333
3,4,0.75,1.0,0.25
4,5,0.8,0.8,0.2
5,6,0.8333333333333334,0.6666666666666666,0.16666666666666666
6,7,0.7142857142857143,0.7142857142857143,0.2857142857142857
7,8,0.75,0.625,0.25
8,9,0.6666666666666666,0.6666666666666666,0.2222222222222222
9,10,0.7,0.6,0.2
10,11,0.6363636363636364,0.6363636363636364,0.18181818181818182
11,12,0.6666666666666666,0.5833333333333334,0.16666666666666666
12,13,0.6923076923076923,0.6153846153846154,0.15384615384615385
13,14,0.7142857142857143,0.6428571428571429,0.14285714285714285
14,15,0.7333333333333333,0.6666666666666666,0.13333333333333333
15,16,0.6875,0.6875,0.1875
16,17,0.7058823529411765,0.6470588235294118,0.17647058823529413
17,18,0.7222222222222222,0.6111111111111112,0.16666666666666666
18,19,0.7368421052631579,0.5789473684210527,0.15789473684210525
19,20,0.75,0.6,0.15
