0,tragique,dieu,tragédie,divin,théologie,Prométhée,vision,héros,liberté,spectacle
1,cité,pénal,crime,involontaire,faute,tribunal,volontaire,notion,droit,juridique
2,Dieu,peuple,Israël,prophète,Jahvé,histoire,péché,jour,Yahvé,historique
3,dieu,drame,homme,roi,babylonien,eau,ennemi,création,qu’,ordre
4,symbole,qu’,langage,philosophie,penser,mythe,Mais,critique,chose,falloir
5,mythe,orphique,titan,Platon,orphisme,Dionysos,dieu,qu’,origine,siècle
6,souffrance,craindre,punition,Job,ordre,souillure,rétribution,monde,peur,impur
7,homme,figure,saint,adam,Paul,fils,eschatologique,serviteur,don,Roi
8,péché,homme,qu’,conscience,Dieu,loi,culpabilité,faute,devenir,éthique
9,souillure,symbole,symbolisme,péché,symbolique,rite,expiation,impur,expérience,idée
10,pharisien,Tôrâ,scrupuleux,scrupule,Judaïsme,instruction,écrit,Loi,hétéronomie,pharisianisme
11,corps,âme,vie,mort,désir,mauvais,chair,serpent,mal,existence
12,mythe,mal,homme,histoire,qu’,chute,type,récit,création,adamique
