,n,kw,acs,wmd
0,1,0.0,0.0,1.0
1,2,0.5,0.0,0.5
2,3,0.3333333333333333,0.0,0.3333333333333333
3,4,0.25,0.25,0.25
4,5,0.2,0.2,0.2
5,6,0.16666666666666666,0.16666666666666666,0.3333333333333333
6,7,0.14285714285714285,0.2857142857142857,0.2857142857142857
7,8,0.125,0.25,0.25
8,9,0.2222222222222222,0.2222222222222222,0.2222222222222222
9,10,0.2,0.2,0.2
10,11,0.2727272727272727,0.18181818181818182,0.2727272727272727
11,12,0.25,0.25,0.25
12,13,0.3076923076923077,0.23076923076923078,0.23076923076923078
13,14,0.35714285714285715,0.21428571428571427,0.21428571428571427
14,15,0.3333333333333333,0.26666666666666666,0.2
15,16,0.3125,0.3125,0.25
16,17,0.29411764705882354,0.29411764705882354,0.23529411764705882
17,18,0.2777777777777778,0.2777777777777778,0.2777777777777778
18,19,0.2631578947368421,0.2631578947368421,0.2631578947368421
19,20,0.25,0.25,0.25
